ID,SENTENCE,ANNOTATION,LABEL,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,SET,IN_DEV_SET,gpt-4o_long-german-wv,gpt-4o_long-wv,gpt-4o_medium,gpt-4o_short,Qwen2.5-32B_short,Qwen2.5-32B_medium,Qwen2.5-32B_long,Qwen2.5-32B_long-german,Qwen2.5-3B_short,Qwen2.5-3B_medium,Qwen2.5-3B_long,Qwen2.5-3B_long-german,Qwen2.5-7B_short,Qwen2.5-7B_medium,Qwen2.5-7B_long,Qwen2.5-7B_long-german,gemma2:2b_short,gemma2:2b_medium,gemma2:2b_long,gemma2:2b_long-german,gemma2:9b_short,gemma2:9b_medium,gemma2:9b_long,gemma2:9b_long-german,gemma2:27b_short,gemma2:27b_medium,gemma2:27b_long,gemma2:27b_long-german
21,Kongsberg ist eine Stadt im Numedal in Südnorwegen.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False
22,Von der Bus-Umsteigestelle am 7th Circle in Amman ist der Busbahnhof von Madaba mit dem Bus oder Service-Taxi in 30 Min. zu erreichen.,Wegbeschreibung,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,Alle beteiligten Inseln haben dafür ihre Sportanlagen aufgerüstet.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
24,Die Altstadt wurde wiederholt angegriffen und zerstört.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Die Weichsel in Krakau ist eine schiffbare Wasserstraße.,nein,0,,,,set_1_wv,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False
26,Eine weitere Bahnstrecke ist von der Küstenstadt Sirte bis zur Oase Sabha in der Sahara geplant.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
27,Die Straße ist mittlerweile durchgehend asphaltiert und auch mit dem Fahrrad super zu befahren.,teilweise,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
28,Des Weiteren fahren mehrmals täglich Busse aus dem Nordosten und aus anderen Bereichen des Landes in die Hauptstadt.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,In: Allgemeiner Harz-Berg-Kalender 1975. S. 65..,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Levoča liegt nahe der Europastraße E50 (slowakische Autobahn D1) und kann damit vom Westen über Poprad und vom Osten über Košice erreicht werden.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,"Er wurde in der ersten Hälfte des 20. Jahrhunderts erbaut und orientiert sich in seinem Aussehen am Praça do Comércio, dem Hauptplatz in Lissabon.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,False
32,Sehenswürdigkeiten mit regionaler Bedeutung siehe Artikel Edersee.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,"Leichte Wanderungen auf meist gepflegten Wegen in Talnähe von Ort zu Ort, ins Lüsener, Fotscher und Gleirschtal, von Gries nach St. Quirin, auf Almwegen zur Almindalm, Juifenalm, Gleirschalm,a uf den St. Sigmunder Sonnberg, von St. Quirin auf die Hirscheben .",Wegbeschreibung,0,,,,set_1_wv,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False
34,"Wer die Carretera Fronteriza in Richtung Guatemala entlang will, der ist, sofern er keinen eigenen Wagen besitzt, auf den Transport einer der zahlreichen in der Stadt befindlichen Travel-Agenturen angewiesen.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,"Florø Airport, der größte regionale Flughafen Norwegens, an der Küste gelegen, mit Verbindungen aus Oslo, Bergen, Stavanger, Skien und Førde. . Førde Airport am Ende des Dalsfjord gelegen, gleiche Verbindungen wie Florø. .",nein,0,,,,set_1_wv,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False
36,De Oude Molen aus dem Jahre 1804 ist die einzige Windmühle auf der Insel.,ja,1,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False
37,Die Regionalbahn R 69 führt durch das Weschnitztal über Mörlenbach nach Fürth in den Odenwald bzw. in Gegenrichtung nach Weinheim an die Bergstraße.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
38,"Der Berg Puy de Dôme. der dem Department den Namen gab, ist unter Radsportfans als Etappenort der Tour de France bekannt.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Sie ist Sitz der gleichnamigen Stadt-und-Land-Gemeinde mit fast 10.000 Einwohnern.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
40,"Wer das Risiko auf sich nehmen will, kann den See aber auch umrunden, was dann aber länger als 15 min dauert.",Wegbeschreibung,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41,Besonders für Kinder ist dieses technikhistorische Museum spannend.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,"Es empfiehlt sich auf jeden Fall, das Auto am Fährhafen stehen zu lassen und zu Fuß überzusetzen.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
43,"Los Llanos de Aridane, die größte Stadt der Insel mit 20.173 Einwohnern (2006) und einer Fläche von 35,79 km².",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
44,"Zwei Regionalbuslinien, die Linie 631 (Heilbronn <> Erlenbach <> Binswangen) und die Linie 692 (Neckarsulm <> Binswangen <> Erlenbach <> Weißenhof <> Weinsberg) stellen das Nahverkehrsangebot in der Gemeinde sicher.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Die Stadt kann mit Shuttlebussen oder der Eisenbahn in einer knappen Stunde erreicht werden.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Im 19. Jahrhundert wurde der Attersee zu einem beliebten Ausflugsziel für die wohlhabende Bevölkerung.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,"Bitterfeld (22 km westlich, B 183) - einst die „dreckigste Stadt Europas“, liegt bei Bitterfeld heute das „Bitterfelder Meer“ mit Pegelturm und Wasserfront. .",topographische Beschreibung,0,,,,set_1_wv,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False
48,"Stadt der Kunst und Geschichte, Kathedrale, Rathaus, Basilika, Museen, Parks, Place de Jaude, Amboise-Brunnen, Villen des Alten Montferrand, Chanturgue-Plateau.",ja,1,,,,set_1_wv,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
49,"Weitere Fachwerkbauten umrahmen den verkehrsfreien Platz, dessen Gastronomie zu einer Pause einlädt. .",ja,1,,,,set_1_wv,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
50,"San Isidro, die Gartenstadt zwischen Altstadt und . Lince, Mittelschichtviertel zwischen San Isidro und der Altstadt mit vielen Hotels .",nein,0,,,,set_1_wv,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False
51,"Naxos ist die größte und gleichzeitig fruchtbarste Insel der Kykladen, die Landwirtschaft spielt eine größere Rolle als bei den Nachbarinseln.",topographische Beschreibung,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
52,Die Richtung der Einbahnstraßen kann je nach Verkehrslast im Tagesverlauf wechseln.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,"El Relincho: Cabañas (Hütten) und Camping, Am Ende des Ortes links der Hauptstraße San Martín rechts vom Camping/Hostal ""El Refugio"".",Wegbeschreibung,0,,,,set_1_wv,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,False
54,Die nächsten Autobahnanschlusstellen sind Dresden-Südvorstadt und Dresden-Prohlis an der A17.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False
55,"Der See, insbesondere sein Ostteil, ist ein geeigneter Ort für die Beobachtung von Wasser- und Zugvögeln.",nein,0,,,,set_1_wv,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,False
56,"Nossen (17 km südwestlich, B 101) - Kleinstadt an der Freiberger Mulde, sehenswertes Schloss.",nein,0,,,,set_1_wv,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,False
57,Der Gerdsee ist natürlich und der größte See in den Vogesen und in Lothringen.,nein,0,,,,set_1_wv,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False
58,"Die Daten, die Darwin während seines Aufenthalts auf den verschiedenen Inseln gesammelt hatte, und die sich daraus ergebenden Erkenntnisse waren die Basis für die Entwicklung seiner Theorie über ""die Entstehung der Arten"".",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,Hier liegt auch der Akagera-Nationalpark mit seinen Savannen und Sumpfgebieten.,ja,1,,,,set_1_wv,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False
60,"In der Umgebung findet man mehrere Naturschutzgebiete mit seltenen Pflanzen- und Tierarten, zahlreiche Weinberge und die ersten Ausläufer des Spessarts.",ja,1,,,,set_1_wv,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True
61,Karyés: Hauptstadt und Regierungssitz der Mönchsrepublik.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
62,Wichtigste Sehenswürdigkeit ist das hiesige Nationalmuseum mit seinem Hauptschwerpunkt zur Militärgeschichte der Stadt und des Sinai.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
63,"Supermärkte gibt es in Gernsbach direkt hinter dem Bahnhof (Rewe, Aldi), im Zentrum (Nahkauf, Rossmann, sowie 2 Apotheken), unterwegs im Stadtteil Hilpertsau (Netto) sowie in Loffenau (Gießler's Landmarkt sowie die Igelbach-Apotheke).",nein,0,,,,set_1_wv,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False
64,Der Park ist von Bischkek aus mit Marschrut 265 (nach Kaška Suu) leicht zu erreichen.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
65,"Sie wird begrenzt von Skandinavien im Osten, von Nord- und Mitteleuropa im Süden und Westeuropa mit der britischen Insel im Westen.",nein,0,,,,set_1_wv,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,False
66,Hier können Sie auch das Nationalpark-Haus Wattwurm besuchen.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,"So gelangen wir zur heutigen Stadt Lecco mit der Präsenz von Bezirken, die in den vergangenen Jahrhunderten eigenständige Gemeinden waren.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
68,Eine Unterkunft wird üblicherweise in der Stadt el-Chārga gewählt.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
69,"Timișoara (gesprochen: timischoara; deutsch: Temeswar, Temeschwar oder Temeschburg; ungarisch: Temesvár) ist die drittgrößte Stadt in Rumänien und das wirtschaftliche und kulturelle Zentrum des Banat.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,"Im innerpolnischen Verkehr bestehen Direktverbindungen aus Gorzów Wielkopolski (Landsberg an der Warthe; nicht ganz stündlich; 30–40 Minuten), Szczecin (Stettin; mehrmals täglich; ca. 1:40 Std.) und Zielona Góra (Grünberg; mehrmals täglich; ca. 1:40 Std.).",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
71,Nordstrand (nordfriesisch: Noordströön) ist eine Halbinsel im Kreis Nordfriesland.,nein,0,,,,set_1_wv,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False
72,Almodóvar del Río ist eine Stadt in der andalusischen Provinz Cordoba.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
73,Das Hessenticket gilt ab/bis Bahnhof Warburg („Grenzbahnhof“).,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
74,Etwas ruhiger ist es auf den Hong-Inseln.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
75,"Das Luxushotel liegt im Zentrum von Franzensbad und stammt, wie auch die Stadt, aus dem Jahr 1793.",ja,1,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
76,Die meisten Straßen im Dorf Mīt Rahīna sind Pisten.,ja,1,,,,set_1_wv,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False
77,Deutsches Meeresmuseum in Stralsund - ist bei einem Regentag unbedingt einen Besuch im historischen Stralsund wert.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
78,"Euro-Industriepark: Areal mit Großmärkten (2 × Real, Media-Markt / war der erste in Deutschland, Metro, mehrere Möbelmärkte). .",nein,0,,,,set_1_wv,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False
79,Der Bundesstaat und vor allem die Hauptstadt Fortaleza hat sich zu einem der beliebtesten Reiseziele Brasiliens entwickelt.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,"Hangzhou Ostbahnhof: Bahnhof für Hochgeschwindikeitszüge nach Nanking, Kunming und Richtung Tiantaishan, Taizhou , Yuhuan .",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
81,In der Stadt wurden Überreste von römischen Bädern und einem Theater gefunden.,topographische Beschreibung,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False
82,Neben Rostock befinden sich weitere Fährterminals mit anderen Verbindungen im Fernverkehr auf See in Travemünde und Kiel.,nein,0,,,,set_1_wv,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
83,Flughafenhotel IC Hotel Airport Antalya: 800 m vom Flughafen entfernt.,nein,0,,,,set_1_wv,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False
84,"Der Naturpark Parque Natural Cabo de Gata-Níjar befindet sich im Kerngebiet der gleichnamigen, steinigen Halbwüste.",topographische Beschreibung,0,,,,set_1_wv,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False
85,"Limoux ist eine Stadt im französischen Département Aude in der früheren Region Languedoc-Roussillon, die 2016 in der Region Okzitanien aufgegangen ist.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
86,Puducherry (bis 2006: Pondicherry) ist eine ehemalige französische Kolonialstadt in Südindien.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,Die Fahrt vom Flughafen in Palma de Mallorca dauert mit dem Auto ca. 50 Minuten.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,"Da die meisten Institutsgebäude, sofern sie noch enthalten sind, im Bereich der Innenstadt oder in Innenstadtnähe liegen, kann man viele der Gebäude auf einem Stadtrundgang erkunden.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False
89,Dieser Naturpark erstreckt sich über das Lauenburgische Seenland und bietet eine Vielzahl von Seen und Wäldern.,ja,1,,,,set_1_wv,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
90,"Sie zeichnet sich durch die vielleicht besten Cocktails der Stadt"" und ihre intime, sehr gastfreundliche Atmosphäre aus.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
91,Die ehemalige Königsstadt gehört historisch zu Kleinpolen.,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,"In den Sommermonaten bietet der Park Kindern täglich Theatervorführungen, außerdem sind auch Clowns, Zauberer und Zirkusartisten zu bestaunen.",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
93,"Spätestens am Kornhaus (Ausflugsgaststätte an der Elbe in Bauhaus-Architektur) sollte man in Richtung Stadt abbiegen, sonst verpasst man die Bauhausbauten.",Wegbeschreibung,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
94,Die bekannteste und daher auch stark frequentierte Route führt vom Centro de Interpretación Torre del Vinaigre etwa auf halbem Weg der A-319 von Cazorla zum Stausee Tranco de Béas entlang des Flusslaufs ins Gebirge.,Wegbeschreibung,0,,,,set_1_wv,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False
95,Linie 3 verbindet den Bahnhof und südliche Busstation (bzw. Fürstengräber).,nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False
96,Nächstgelegener Sportflugplatz ist der Flughafen Husum in Schwesing.,nein,0,,,,set_1_wv,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
97,"Für 15 Minuten kann man kostenlos parken, man benötigt aber auch hierfür einen Parkschein (""Brötchentaste"" am Automaten).",nein,0,,,,set_1_wv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
