ID,SENTENCE,ANNOTATION,LABEL,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,SET,IN_DEV_SET,gpt-4o_long-german,gpt-4o_long,gpt-4o_medium,gpt-4o_short,gemma2:2b_short,gemma2:2b_medium,gemma2:2b_long,gemma2:2b_long-german,gemma2:9b_short,gemma2:9b_medium,gemma2:9b_long,gemma2:9b_long-german,gemma2:27b_short,gemma2:27b_medium,gemma2:27b_long,gemma2:27b_long-german,Qwen2.5:3B_short,Qwen2.5:3B_medium,Qwen2.5:3B_long,Qwen2.5:3B_long-german,Qwen2.5:7B_short,Qwen2.5:7B_medium,Qwen2.5:7B_long,Qwen2.5:7B_long-german,Qwen2.5:32B_short,Qwen2.5:32B_medium,Qwen2.5:32B_long,Qwen2.5:32B_long-german
18,"Dicht neben seinem Vater war dem meinigen die Grube gegraben (Nachbar Hartleben lag nur ein paar Schritte weiter ab, und der übrige Vogelsang, hier noch immer im Grün und mit der Aussicht auf den Osterberg und Schluderkopf, rundum) und standen die Schaufeln für die Liebes-, Ehren- und Achtungsgabe des Grabgefolges in die frisch aufgeworfenen Schollen fruchtbaren Gartenhodens gestoßen.",nein,0,,,,set_1_gt,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True
19,"Ich wünsch Herrn N. und Madam N. ein vergoldeten Tisch, Auf allen vier Ecken ein'n gebratenen Fisch, Und in der Mitte ein'n Becher mit Wein, Das soll Herrn N. und Madam N. mit ihre Kinder ihre Gesundheit sein.",nein,0,,,,set_1_gt,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,"Zwischen seinem Weib und seiner Mutter erhob sich bald darauf der Hügel, der seinen Ruheplatz bezeichnete, und später blieben viele, die den Friedhof besuchten, an den Gräbern des Melchior und der Bianka stehen, maßen sich die Schlingrose, die er unter dem Kreuz der Herzliebsten gepflanzet, in wunderbarer Fülle ausbreitete und die Gräber des Mannes wie des Weibes mit gleicher Ueppigkeit und im Juniusmonde mit einer Blütenpracht sondergleichen umrankte.",nein,0,,,,set_1_gt,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False
21,"Sobald Sara das Zimmer verließ, redeten sie weiter über diese Entdeckung und quälten sich mit den gewagtesten Trugschlüssen und Vermutungen, plötzlich stöhnte Reichard laut auf.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,"Eine Weile nach dem Abendessen klopfte es an die Tür; ein Neger steckte den Kopf herein, er trug seinen alten Strohhut in der Hand und sagte unter vielen Bücklingen und Kratzfüßen, sein Herr, Massa Brace, warte draußen am Zaun und lasse den Massa Silas fragen, wo sein Bruder wäre, der zum Essen nicht nach Hause gekommen sei.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,"Vielmehr griff in demselben jetzt der Groll Platz über den verhaßten Finanzwächter, der ihn in Gegenwart des hübschen Mädchens so schlecht behandelt hatte.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,"Da riß auch Garizo, dem Gaugrafen, der Bogenstrang; seufzend warf er den nutzlosen Bogen zur Erde.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,"""""Aber sowie er wieder schwimmen kann, wird er zu Berg steuern,"" warnte Ulemer.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,"Noch einmal brach die Sonne hell aus dem Westgewölk, die ganze Kette der Berghäupter von den Berner Alpen bis zu den Allgäuer Höhen vergoldend: der Säntis glühte in weinrotem Glanz, feierlich, wie ein König der Bergriesen, der seinen Purpurmantel um die stolzen Schultern gezogen hat.",ja,1,,,,set_1_gt,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True
29,"""Die Männer halfen dem Schlemmer auf die Beine, auf denen er sich kaum halten konnte, nahmen ihn unter den Arm und halfen ihm den Berg hinab.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Frau Regina war mit ihrer Tochter in der Stadt geblieben.,nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",ja,1,,,,set_1_gt,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,True
36,"Die Fenster standen offen, es lag ein tiefer Friede, eine unsägliche Ruhe über Paddenau und dem Dräumling, und man vernahm von dem Hof aus deutlich, mit welchen Expektorationen und Paraphrasen und Parabasen der vergnügte Lateiner seine schauerliche Berufsarbeit begleitete.",Teilsatz,0,,,,set_1_gt,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
37,"Hinterher kamen die Halbgötter an die Reihe, einer um den andern, aber nicht so hohenpriesterlich – Ramler – Gleim – Geßner Uz – Gerstenberg.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,"Wir sind Verwalter von Hengstenberg; Haus, Garten, Vieh und Menschen, alles ist unser!",nein,0,,,,set_1_gt,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
39,"So vergingen etliche Wochen, und eines Morgens, wie ich eben aus der Schule kam, traf ich den Götz, wie er der Base, die mit naßgeweinten Augen in ihn hinein gesprochen, zurief:""Der Mutter eignet die Macht, mich in Mißgeschick und Verderben zu treiben; doch keine Gewalt des Himmels und der Erde kann mich dem Eid und der Treue abwendig machen, die ich geschworen.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Mit des Herdegen Aufbruch erhob sich ein neuer Meilenstein an meines Lebens Straße.,nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,"Heulend über die böse Behandlung der rohen Ratsknechte zog ich fort an der Hand meiner Mutter, die unter dem andern Arm ihr kleines Bündel trug, dem Blocksberge entgegen, den ich so oft von meines Vaterhauses Bodenluke angeschauet und angestaunt hatte.",nein,0,,,,set_1_gt,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
42,Er wollte gerade noch einmal überall nach dem Rechten sehen und sich dann zu Bett legen.,nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,"Solcher Feigheit zwar schuldige er nur wenige an – flammend lief der Blick des Redenden über die Köpfe – doch der einzelne fühle sich nicht an Kräften dem Raubritter gleich, der ihn im Felde bedrohe, und die einzelne Stadt fühle sich zu waffenlos wider die Gewalttat heeresmächtiger Fürsten.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,"Solchen hat der Wrisberger hergeführt, auf daß er meinen Grafen aufbiete ins Feld gegen die Spanier.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,"In der ersten finstern Nacht sollte die Ueberschreitung des schmalen Meeresarmes, der sie von der peträischen Halbinsel trennte, stattfinden, und als nun beim Untergang der Sonne des letzten Tages schwere Gewitterwolken aufzogen und sich mit Ungestüm entluden und das Licht des abnehmenden Mondes verfinsterten, zogen sie ihre Boote und Flöße in die See und würden auch unbemerkt von den Wächtern auf der Spitze des Berges, die sich vor dem Unwetter unter ihr Schutzdach zurückgezogen hatten, das jenseitige Ufer, den Berg und vielleicht die Oase erreicht haben, wenn nicht Einer die Anachoreten gewarnt hätte, und dieser Eine war Hermas.",teilweise,0,,,,set_1_gt,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False
47,"Die Base überhob sich nicht in ihrer seltsamen Sehergabe, sie nahm diese wie eine unverdiente Gnade Gottes und blieb demütiger als viele andere Leute, die lange nicht so viel sahen wie die ältliche Jungfer in der Kröppelstraße.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,"Der Oheim Nikolaus Grünebaum aber hielt zu seiner eigenen""höchsten Perplexität"" am Nachmittag in der Kröppelstraße eine lange, schöne Rede, zu welcher die Base Schlotterbeck einen ausgezeichneten Kaffee gebraut hatte, und expektorierte sich ungefähr folgendermaßen:""Sintemalen denn ein Schuster ein nobles und ehrerbietiges Geschäft ist, aber dennoch so können nicht alle Menschenkinder Schuster werden, sondern es muß item noch anders Volk geben, Schneider, Bäcker, Zimmerlinge, Maurer und dergleichen, auf daß für jedes Gefühl und Sentiment gesorgt werde und kein Sinn ohne die nötige Bedeckung bleibe.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,"""Hans kam vom Fenster zurück, setzte sich auf den Stuhl, auf welchem er am vorigen Abend saß, und sah auf die beiden leeren Stühle.",teilweise,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Was sagst du zu der Etappenstraße?,nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,"Die Federn in seinem Innern schienen plötzlich ihre Spannkraft zu verlieren, das Räder- und Zugwerk versagte seinen Dienst, die ganze Gestalt schien kleiner zu werden – der Herr Geheime Rat klopfte an die Tür seiner Gemahlin und schien Lust zu haben, vorher durch das Schlüsselloch zu sehen oder doch an demselben zu horchen.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,"Als er erwachte, war es Morgen, und was ihn weckte, war nicht der Wogenschlag an Fels und Düne, sondern Grips, der mit der Faust an seiner Tür trommelte und dienstlich meldete, daß das Frühstück auf dem Tische stehe.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,"Es klopfte jemand hastig an das Fenster; Grips mit seiner Laterne stand draußen im Schnee und kalten Abendwind und entbot beide geistliche Herren zum Gutshofe mit dem Anfügen, es müsse wohl etwas Absonderliches passiert sein in der Zeitung, denn der Herr Oberst und der Herr Leutnant seien in merkwürdiger Emotion, seit Christof mit ihr von Freudenstadt gekommen sei.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,"Der Förster von der Jachenau blickte nicht ohne Besorgnis zu dem die Straße beherrschenden Kirchelskopf auf, von welchem sich während des Föhns gern Schneelawinen ablösen und die Straße verschütten, und er mahnte den Offizier mit den Worten:""Ich halt's für gut, daß's den Weg auf Walchensee rasch zurückleg'n, es gehn gern Lawinen nieder, wenn der Föhn weht.",Teilsatz,0,,,,set_1_gt,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,"Aber daß er sich aufs Singen verlegt –Indem öffnete sich die Thür, und ein hochgewachsener Jüngling, der nicht über neunzehn Jahr haben konnte, trat mit freundlicher Geberde ins Zimmer.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,"Auf der äußersten Bergspitze zur Linken, auf der Römerschanze stand ein alter Wartthurm, der""Lug in's Land,"" höchst wahrscheinlich auf römischem Fundament; gegenüber auf dem Vorsprung des Herrenberges lag die Scharfrichterei, und zwischen dieser und dem Wartthurm lief im Thal unten die Stadt gegen das Römerthor zu aus.",ja,1,,,,set_1_gt,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True
57,"Ein Wachtmantel von gelbem Tuch mit grünem Kragen – grün und gelb waren die Farben der Stadt – hing am Nagel, ein Bauer mit einem bunten, klugen Zeisig von der Decke.",ja,1,,,,set_1_gt,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False
58,Eine weiche volle Stimme klang aus dem obern Stockwerk der Silberburg; aber die Fenster blieben dunkel wie gewöhnlich.,ja,1,,,,set_1_gt,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
68,"Da das aber nicht der Fall war, so trat die Ueberraschung und der Argwohn, die plötzlich in seinem Gemüthe aufstiegen, nur durch den Umstand zu Tage, daß der gesellschaftliche Thermometer des Zimmers so tief sank, daß die arme Carmen erschrocken emporschaute, fröstelte und ihren Shawl dichter um die Schultern zog.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,"Ihre Augen folgten ihm durchs Zimmer; sie wartete auf dies""andere"", das mehr war als die Rute.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,"Den Kopf hinausbiegend, suchte ich nach den Hinterwänden der Gebäude, doch sie waren alle wirkliche Häuser, der Revers so wohlanständig und tadellos wie die Fassade, und es sahen überall wirkliche Menschengesichter aus ihren offenen Fenstern auf den einfahrenden Zug.",teilweise,0,,,,set_1_gt,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
72,"Es war Geistesgegenwart genug von ihm gewesen, auf sein Zimmer zu eilen, sich das Nachtgewand überzuwerfen und zu der Schreckensstätte zurückzukehren.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,"Von Aegyptern und ägyptischem Leben gab es da wenig zu sehen; es war, als habe ein Dämon einen Teil von Medina aus Arabien an den Nil verpflanzt; die Menschen, Tiere, Häuser und Verkaufsstellen trugen, wenn ihnen auch manches zu gute kam, was ihre Erbauer in den alten asiatischen Kulturländern gesehen, die sie erobert, den Stempel der Heimat, und wo Orion einen Landsmann sah, stand er als Arbeiter oder Rechnungsbeamter im Dienst der Fremden, welche hier so schnell heimisch geworden waren.",teilweise,0,,,,set_1_gt,False,True,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
74,"Pawlin räumte ihr Zimmer auf, sah ihre Garderobe durch und machte sich dann daran, sie in Ordnung zu bringen.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,"Einem daherfliegenden Knüttel durch einen zweiten Seitensprung ausweichend, gab Pechle jauchzend und jubilierenden Herzens, wie Moses auf dem Berge in der Schlacht gegen die Amalekiter, dem Handgemenge seinen Segen, als plötzlich seine ganze Aufmerksamkeit allen fliegenden Geschossen zum Trotz durch eine höchst außergewöhnliche Erscheinung gefesselt wurde.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
76,"Man kommt nicht aus einem albanesischen Städtchen und bringt den Thron des Kalifen ins Wanken, ohne zu den Großen der Erde zu gehören.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,"Mit den letzteren haben wir es bis jetzt noch zu tun, in der Erwartung, daß auch sie demnächst abgelöst werden, und zwar durch gotische und Renaissance-Steingebäude, und daß man nicht mehr von den bescheidenen Bänken an der Tür, sondern vom hohen und eleganten Balkon auf das Rauschen der Ilme im Tal hinabhorchen werde.",teilweise,0,,,,set_1_gt,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
78,"Der arme Junge, Theodor Rodburg, bekam bald selber etwas zu tragen, nämlich einen sonderbar schweren Kopf in seinen beiden Fäusten und dazu allmählich ein dumpfes Gefühl davon, daß die Mutter Schubach und der Bruseberger doch wohl etwas mehr sein könnten als undeutliche Schemen, zwei entfernte Schatten in einem nahen Lichtglanz, zwei höchstens etwas sonderbare graue Traumgestalten in einer lachenden, vielzungigen, gloriosen Weltwirklichkeit.",nein,0,,,,set_1_gt,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,"""Verrammeln wir die Tür, die Wilden werden sie zu erbrechen suchen!",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,"Auch Onahees Leichnam ließ Tallihadjo mitführen, um ihn bei dem alten Lagerplatz zu beerdigen.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
81,"Robert bemerkte auch sehr bald, wie einer nach dem anderen schüchtern emporsah, wie sich diese, in stündlicher Todesgefahr aufgewachsenen, stündlich mit allen Schrecken der Wildnis ringenden Männer scheu aneinander drängten, wie sie kaum zu atmen, kaum die Köpfe zu erheben wagten, weil eine unförmliche Steinpuppe vor ihnen auf dem Felsentisch stand.",nein,0,,,,set_1_gt,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False
82,"""Vom anderen Tisch herüber wurde ihm ein Bierglas gereicht.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,"""Sie sah sich nach der Tür um und blickte auch durchs Fenster.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
85,"""Judika begann:""Ich habe vom Ritter Florian Geyer eine Botschaft übernommen an den Grafen Helfenstein auf Schloß Weinsberg.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,"In einer Mühle vor der Stadt hielt er mit seinen Gesellen Kriegsgericht über sie, in welchem beschlossen wurde, daß kein Adliger und kein Reisiger leben gelassen werden sollte.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
87,"Aber jetzt spüre ich das Bedürfnis danach, die Ellbogen so auf so einen Tisch am Wege zu stemmen und das Leben durch die große Gaststube und auf der allgemeinen Landstraße vorbeipassieren zu sehen.",nein,0,,,,set_1_gt,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
88,"rief er, starr vor Staunen, ehe er die Tür krachend zuwarf.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,"Es ward dabei eine Messe gelesen, eine kurze Predigt gehalten und um Erhaltung von Frieden und Eintracht in der Stadt und um Erleuchtung des Rates und der Bürgerschaft gebetet, daß sie den Willen Gottes – soll heißen des Papstes und der sülzbegüterten Prälaten – erkennen und sich ihm beugen möchten, auf daß sie nicht ihr Seelenheil verscherzten und der ewigen Verdammnis verfielen.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,"In den bitteren Tagen, die ich am liebsten aus der Chronik unserer Stadt ausstriche, ist viel gesündigt worden, und hier haben wir mit unseren Ohren den Spruch gehört, der den üblen Taten ihren Lohn gibt.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,"Die Kesselstraße schlief sanft, aber es gab viele Straßen, welche nicht schliefen.",ja,1,,,,set_1_gt,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
92,"In der Stadt nahm man den Verein von der heitern Seite; es gab auch Leute, welche die Sache unpassend, ja sogar gefährlich fanden.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,"Auch Tante Helene fand sich oft ein, holte uns ab und nahm uns mit in ihr Zimmer.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,"Die Bischöfe und Reichsäbte dagegen waren mit ihrer geistlichen Begleitung wie die Kaiserin-Witwe in den zahlreichen, dem Erzbischof und der Stadt gehörigen Gebäuden untergebracht.",nein,0,,,,set_1_gt,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
96,Jedenfalls gingen sie noch nicht zu Bett.,nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,"Der Magister sah von seinem kummervollen Abendbesuch nach der Tür und fragte nicht mehr genauer, wer da draußen stehe.",nein,0,,,,set_1_gt,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,"Wir standen abseits, unbeachtet vor dem offenen Türrahmen eines von der Gesellschaft verlassenen Zimmers und mir war's nicht mehr begreiflich, daß ich dieses Durcheinander, welches mir heut' lächerlich, fast Widerwillen regend, erschien, bis vor Kurzem selbst häufig mitgemacht hatte.",teilweise,0,,,,set_1_gt,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
100,"""Auf seinen Wink schlugen die Diener an der breiten Hauptwand hinter seinem Stuhl die Teppiche zurück: ein umfangreiches Mosaikbild ward sichtbar: es stellte die geschilderte Huldigung dar, alles andere war unverändert geblieben: nur saß statt des Kaisers Attila auf dem Thron und die beiden vordersten, auf die Erde gestreckten Männer in dem ganz treu wiedergegebenen Gewand der Imperatoren – trugen die Züge von Theodosios und Valentinian.",teilweise,0,,,,set_1_gt,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
